commit	tree	subject
ba427222c6d059af11d5fbad95be4af052d963f2	d99d9fdb439f24d77d431309bd854eb2372d80ee	LGSWF: bind executable tasks to bootstrap contract seal
99c44131fe7ee25f5f88af2377a533cc9f8a8c56	734509dee6a8d913fa1b5f997d1a50c625fe753d	LGSWF: repair standalone control-plane materializer
21d397b9112c4d8160bc425ddb9241b3287eb158	4b2689e63c19e00f012b0da5e68a1c86d89a13bf	LGSWF: isolate operational runtime from source authority
ca9d0b8a5d9d0aea392107c1fd8f6842d38bb4e5	05870e3ccd0b1b64a16e733f31e549b1990d3ca2	Add datasets-authoritative operational schema profile
286cb11ae997b91f3971e1d038fd8ede9a99c1c0	8a876e6dfa669663331ff2c1fdacd2153b3b4d49	Fail closed local semantic writers under datasets authority
dc4409783cedea6d36f46667b0b0d916edacf0fb	35615d50849ce1652a11027b13338fb6b66bb2a4	Fence proof side stores under datasets authority
489fba3ba2728d2e4399961b863d45c56a50b7e3	f48f0a3b5f44849d650ce2cad9929ac60eb464fd	Propagate datasets semantic authority into task contexts
29136a4e1e6a846f0019a8601513ae9ccf7222d0	d2e3ed94526d3de70e1b9d9b7f3b336657df5fad	Harden database implementation claim recovery
2f38f681b79155bf9bb8cdc86575d6145c81a666	98ded23b267e9a39e5f2b6c9da540a269c4f83bd	test(agent-supervisor): qualify LGSWF bootstrap seal
07f0458da41b4c3667b2c2676b37dfb8988e7666	15aee88357170da885515c80dcc29ebc9ed189d1	test(agent-supervisor): cover LGSWF seal audit fixes
b5bd8f5901e8162b9908613608a8ba92ec0ab73e	8c6fd3bab1872c4c5c84bfca21469c408c5e95a4	test(agent-supervisor): qualify LGSWF seal restart windows
f2648dec2f6984e34382569ff5b60376892f2841	2fd1a1c41326e6b864a09060ec7fbee130645bb6	feat(agent-supervisor): project coordination registry state
314da0c8f4940394b48000003adf9bb8110f1ef5	35e25d9664b371559607c7fd9959da9d56cab5d2	test lgswf qualified materialization bindings
b9a4b0f5184f48a4bf23209c9424730297be80ce	9e10c03b0ae27935e7fcd75df3dacdf1917f687b	Add read-only coordination history projection
301d7318868bbc238abb6862d38c77253d5653b0	b08b08e17c4a10c8f0627daf4e1eb4348ef8ad3f	Harden LGSWF DuckDB bootstrap authority
29de4661240a6709d999b1b8cc0cda4bc4d398c9	5bf708b7477d7be960affad6b52a4371ecc11321	Harden LGSWF DuckDB/Quack bootstrap and keep embedded launch open
c2405e8b7b2b73ae872c887f0e75be224a4b5c73	f481ba2e146a62d8e32fbd0031c1bf2dee7da9f7	Advance LGSWF bootstrap to run-actual-v4 after failed v3 receipt
8c6a55b2f1b0f2b52dc6ca5a455d7030f87372f4	a0e8627667409555fe71106a8d8ad68b2dc9aa95	Advance LGSWF bootstrap to run-actual-v5 after partial v4 store
521bbc494a6e00280e1e376c23adbdc7a9e8b643	f58de82f07b573eae48265648159d34a32eb5351	Advance LGSWF bootstrap to run-actual-v6 with order-stable deps
